Unnamed: 0,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE,LAT,LON,FIPSCNTY,CNTYNAME
31,CSCCOG_1_UNIT_1,ngct,PGE_bay,7.0,18.41,18.48,18.54,3,7,1,1,3.17,2.931506849,490.0,SANTA CLARA COGEN,Santa Clara Cogen,7232,37.364297,-121.94423799999998,85.0,Santa Clara
32,CSCGNR_1_UNIT_1,ngct,PGE_bay,24.75,30.84,30.91,30.97,9,25,1,1,3.17,10.4109589,1732.5,Gianera GT 1,Gianera,7231,37.401,-121.96867,85.0,Santa Clara
33,CSCGNR_1_UNIT_2,ngct,PGE_bay,24.75,30.84,30.91,30.97,9,25,1,1,3.17,10.4109589,1732.5,Gianera GT 2,Gianera,7231,37.401,-121.96867,85.0,Santa Clara
13,DELTA_2_PL1X4,ngcc,PGE_bay,880.0,10.22,10.48,10.74,352,880,4,4,2.0,404.3542435,61600.0,DELTA ENERGY CENTER (AGGREGATE),"Delta Energy Center, LLC",55333,38.0169,-121.8439,13.0,Contra Costa
78,DEXZEL_1_UNIT,ngct,PGE_valley,36.8,8.08,8.14,8.21,13,37,1,1,3.17,15.61643836,2576.0,Western Power and Steam Cogeneration,Western Power & Steam Inc,54410,35.440539,-119.01286100000002,29.0,Kern
81,DISCOV_1_CHEVRN,ngct,PGE_valley,56.2,8.02,8.08,8.15,20,57,1,1,3.17,23.56164384,3934.0,CHEVRON USA (EASTRIDGE),Kern River Eastridge Cogen,52107,35.4406,-118.9617,29.0,Kern
226,DIVSON_6_NSQF,ngcc,SDGE,47.0,6.64,6.9,7.16,19,47,6,6,2.0,21.77121771,3290.0,DIVISON NAVAL STATION COGEN,Naval Station Energy Facility,10811,32.679269,-117.122447,73.0,San Diego
75,DOUBLC_1_UNITS,ngct,PGE_valley,52.23,8.68,8.75,8.81,19,53,1,1,3.17,21.91780822,3656.1,DOUBLE C LIMITED,Double C Generation Limited Partnership,50493,35.5005,-119.046,29.0,Kern
164,DREWS_6_PL1X4,ngct,SCE,41.4,13.67,13.74,13.8,15,42,1,1,3.17,17.53424658,2898.0,DREWS (AGGREGATE),Drews Generating Facility,55935,34.0609,-117.3532,71.0,San Bernardino
9,DUANE_1_PL1X3,ngcc,PGE_bay,147.8,7.86,8.12,8.38,60,148,2,2,2.0,67.89667897,10346.0,DONALD VON RAESFELD POWER PLANT,Donald Von Raesfeld,56026,37.3767,-121.9508,85.0,Santa Clara
246,ELCAJN_6_LM6K,ngct,SDGE,48.1,8.13,8.2,8.26,16,49,1,1,3.17,20.273972600000004,3367.0,El Cajon Energy Center,El Cajon Energy Center,57001,32.796106,-116.972073,73.0,San Diego
