SEQPLT18,YEAR,PSTATABB,PNAME,ORISPL,OPRNAME,OPRCODE,UTLSRVNM,UTLSRVID,SECTOR,BANAME,BACODE,NERC,SUBRGN,SRNAME,ISORTO,FIPSST,FIPSCNTY,CNTYNAME,LAT,LON
6676,2018,NC,Sun Devil Solar,59505,Duke Energy Progress - (NC),3046,Cypress Creek Renewables,61060,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,185,Warren,36.432,-77.9703
6677,2018,NC,"Sun Farm V, LLC",61287,Virginia Electric & Power Co,19876,Greenbacker Renewable Energy Corporation,60025,IPP Non-CHP,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,143,Perquimans,36.160629,-76.489357
6678,2018,NC,"Sun Farm VI, LLC",61842,Virginia Electric & Power Co,19876,Greenbacker Renewable Energy Corporation,60025,IPP Non-CHP,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,143,Perquimans,36.114444,-76.507778
6679,2018,NC,SunEdison LV Sutton Plant Site,56938,Duke Energy Progress - (NC),3046,SunE NC Progress 1 LLC,56183,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,129,New Hanover,34.2867,-77.9814
6680,2018,NC,"SunEnergy1-Scotland Neck, LLC",59898,Town of Scotland Neck - (NC),16788,"SunEnergy1-Scotland Neck, LLC",59672,IPP Non-CHP,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,083,Halifax,36.124961,-77.409085
6681,2018,NC,Sunfish Farm,58864,Duke Energy Progress - (NC),3046,Cypress Creek Renewables,61060,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,183,Wake,35.558056,-78.735833
6682,2018,NC,Sunflower Solar,60638,Virginia Electric & Power Co,19876,Sunflower Solar LLC,60381,IPP Non-CHP,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,083,Halifax,36.395,-77.593
6683,2018,NC,Sweetgum Solar,59824,Duke Energy Progress - (NC),3046,"SRE Utility Solar 1, LLC",61119,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,105,Lee,35.458333,-79.181111
6684,2018,NC,Tamworth Holdings,60394,Duke Energy Progress - (NC),3046,"Tamworth Holdings, LLC",60193,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,017,Bladen,34.745617,-78.421185
6685,2018,NC,Tanager Holdings,60691,Duke Energy Progress - (NC),3046,"Tanager Holdings, LLC",60410,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,151,Randolph,35.7527,-79.784627
6686,2018,NC,Tarboro Solar,59648,Virginia Electric & Power Co,19876,Tarboro Solar LLC,59412,IPP Non-CHP,"PJM Interconnection, LLC",PJM,SERC,SRVC,SERC Virginia/Carolina,PJM,37,065,Edgecombe,35.858056,-77.499167
6687,2018,NC,Tart Farm,59583,Duke Energy Progress - (NC),3046,"Tart Farm, LLC",59328,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,051,Cumberland,35.204444,-78.681111
6688,2018,NC,Tate Solar,60160,Duke Energy Progress - (NC),3046,Sunlight Partners,58658,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,127,Nash,36.066109,-78.029612
6689,2018,NC,Taylorsville Solar LLC,57402,EnergyUnited Elec Member Corp,21632,Taylorsville Solar LLC,56798,IPP Non-CHP,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,003,Alexander,35.909074,-81.152498
6690,2018,NC,Tennessee Creek,2749,"Duke Energy Carolinas, LLC",5416,"Duke Energy Carolinas, LLC",5416,Electric Utility,Duke Energy Carolinas,DUK,SERC,SRVC,SERC Virginia/Carolina,,37,099,Jackson,35.2139,-83.0028
6691,2018,NC,"Thanksgiving Fire Solar Farm, LLC",62786,Duke Energy Progress - (NC),3046,Sol Systems,61677,IPP Non-CHP,Duke Energy Progress East,CPLE,SERC,SRVC,SERC Virginia/Carolina,,37,101,Johnston,35.701,-78.327
