,Zone,Time,Value
448,SCE,113,297.386165401
449,SCE,114,282.232730221
450,SCE,115,314.907324828
451,SCE,116,340.005201844
452,SCE,117,343.793560639
453,SCE,118,277.023736878
454,SCE,119,264.711570795
455,SCE,120,280.338550824
456,SDGE,97,21.5142277136
457,SDGE,98,27.1560706455
458,SDGE,99,24.4479860382
459,SDGE,100,21.8903505757
460,SDGE,101,27.5321935076
461,SDGE,102,31.9704432807
462,SDGE,103,37.4618370677
463,SDGE,104,35.1298753225
464,SDGE,105,29.4128078182
465,SDGE,106,31.669544991
466,SDGE,107,45.7365400345
467,SDGE,108,52.3563024079
468,SDGE,109,51.2279338215
469,SDGE,110,49.1216457936
470,SDGE,111,47.9180526348
471,SDGE,112,49.2720949385
472,SDGE,113,47.241031483
473,SDGE,114,44.8338451654
474,SDGE,115,50.0243406627
475,SDGE,116,54.0112430013
476,SDGE,117,54.6130395807
477,SDGE,118,44.0063748687
478,SDGE,119,42.0505359857
479,SDGE,120,44.5329468757
480,PGE_valley,121,17.8492336363
481,PGE_valley,122,16.9601913479
482,PGE_valley,123,18.5331123196
483,PGE_valley,124,17.8492336363
484,PGE_valley,125,17.0969670845
485,PGE_valley,126,16.7550277428
486,PGE_valley,127,18.4647244513
487,PGE_valley,128,24.2093053917
488,PGE_valley,129,37.8868790593
489,PGE_valley,130,35.6984672725
490,PGE_valley,131,30.1590499371
491,PGE_valley,132,48.14505931
492,PGE_valley,133,67.6356017864
493,PGE_valley,134,89.4513317863
494,PGE_valley,135,163.447005328
495,PGE_valley,136,237.511066738
496,PGE_valley,137,234.296836926
497,PGE_valley,138,167.07156235
498,PGE_valley,139,124.123981034
499,PGE_valley,140,126.654332162
500,PGE_valley,141,141.768051065
501,PGE_valley,142,155.992727679
502,PGE_valley,143,150.726861817
503,PGE_valley,144,132.946016049
504,PGE_bay,121,33.467313068
505,PGE_bay,122,31.8003587772
506,PGE_bay,123,34.7495855993
507,PGE_bay,124,33.467313068
508,PGE_bay,125,32.0568132835
509,PGE_bay,126,31.4156770178
510,PGE_bay,127,34.6213583462
511,PGE_bay,128,45.3924476094
512,PGE_bay,129,71.0378982362
513,PGE_bay,130,66.9346261359
514,PGE_bay,131,56.5482186321
515,PGE_bay,132,90.2719862063
516,PGE_bay,133,126.81675335
517,PGE_bay,134,167.721247099
518,PGE_bay,135,306.46313499
519,PGE_bay,136,445.333250134
520,PGE_bay,137,439.306569237
521,PGE_bay,138,313.259179406
522,PGE_bay,139,232.732464438
523,PGE_bay,140,237.476872804
524,PGE_bay,141,265.815095747
525,PGE_bay,142,292.486364399
526,PGE_bay,143,282.612865907
527,PGE_bay,144,249.273780092
528,SCE,121,125.994590374
529,SCE,122,119.71899775
530,SCE,123,130.821969315
531,SCE,124,125.994590374
532,SCE,125,120.684473538
533,SCE,126,118.270784067
534,SCE,127,130.339231421
535,SCE,128,170.88921453
536,SCE,129,267.43679336
537,SCE,130,251.989180747
538,SCE,131,212.887411321
539,SCE,132,339.847477483
540,SCE,133,477.427777316
541,SCE,134,631.42116555
542,SCE,135,1153.74356702
543,SCE,136,1676.54870639
544,SCE,137,1653.86002536
545,SCE,138,1179.32867541
546,SCE,139,876.169277885
547,SCE,140,894.030579969
548,SCE,141,1000.71565458
549,SCE,142,1101.12513656
550,SCE,143,1063.95431871
