name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,CO2Tax,NOXTax,SO2Tax,PMTax
TENGEN_2_PL1X2,ngct,SCE,40.2,3.628186401,3.758235925,3.823260687,15,41,1,1,3.17,16.98630137,2814,14.077863,77.0691095,1.52406,12.62517
TIDWTR_2_UNITS,ngcc,PGE_bay,114.8,4.278642484,4.800533964,5.061479704,46,115,6,6,2,52.73062731,8036,14.89127652,27.1532625,0.677616,7.062336
TXMCKT_6_UNIT,ngct,PGE_valley,11.2,9.534605069,9.664654594,9.729679356,4,12,1,1,3.17,4.657534247,784,28.91508962,20.1884275,0.226588,1.413492
UNOCAL_1_UNITS,ngct,PGE_bay,57.3,3.374336776,3.5043863,3.569411062,21,58,1,1,3.17,24.1369863,4011,13.44028898,11.992071,0.071328,7.062336
UNVRSY_1_UNIT1,ngct,PGE_valley,38,3.455308877,3.585358402,3.650383164,14,38,1,1,3.17,15.89041096,2660,13.64357252,9.5298,0.104108,1.413492
VACADX_1_UNITA1,ngct,PGE_valley,50.61,8.88361099,9.013660514,9.078685276,18,51,1,1,3.17,21.36986301,3542.7,27.17754084,1.223331,0.180089,4.476259
VERNON_6_GONZL1,ngct,SCE,5.75,11.82003106,11.95008059,12.01510535,3,6,1,1,3.17,2.465753425,402.5,34.65641496,189.8488335,3.72548,12.62517
VERNON_6_GONZL2,ngct,SCE,5.75,11.82003106,11.95008059,12.01510535,3,6,1,1,3.17,2.465753425,402.5,34.65641496,189.8488335,3.72548,12.62517
VERNON_6_MALBRG,ngcc,SCE,134,6.641646797,7.163538277,7.424484016,54,134,3,3,2,61.62361624,9380,20.41658276,2.795945441,0.406170457,12.63779
VESTAL_2_WELLHD,ngct,SCE,49,10.19952248,10.32957201,10.39459677,18,49,1,1,3.17,20.54794521,3430,26.51177061,0.369127243,0.030544173,0.7742778
WALCRK_2_CTG1,ngct,SCE,96.43,7.875675458,8.005724982,8.070749744,34,97,1,1,3.17,40.54794521,6750.1,18.17950752,4.058700342,0.36162557,12.63779
WALCRK_2_CTG2,ngct,SCE,96.91,7.875675458,8.005724982,8.070749744,34,97,1,1,3.17,40.82191781,6783.7,18.12868556,4.028161763,0.360558728,12.63779
WALCRK_2_CTG3,ngct,SCE,96.65,7.875675458,8.005724982,8.070749744,34,97,1,1,3.17,40.82191781,6765.5,18.21270255,3.897139829,0.362285996,12.63779
