name,typ,zone,netcap,eGRID_Name,DOE,LAT,LON,FIPSCNTY,CNTYNAME,CO2rate(lbs/MWh),NOXrate(lbs/MWh),SO2rate(lbs/MWh),CO2Tax($/MWh),NOXTax($/MWh),SO2Tax($/MWh),PMTax($/MWh),NOX_lbs_MD ($/lb),SO2_lbs_MD ($/lb),PM_MD_KWH ($/MWh)
GRZZLY_1_BERKLY,ngct,PGE_valley,32.5,PE Berkeley,50849,37.870331,-122.26337,1,Alameda,662.566,1.747,0.018,14.23921756,20.00315,0.501417,4.983456,11.45,27.8565,4.983456
HARBGN_7_UNITS,ngcc,SCE,109.01,Harbor Generating Station,399,33.7706,-118.2656,37,Los Angeles,1729.55,0.416,0.01,37.16978947,18.500144,0.8467,12.63779,44.4715,84.67,12.63779
HENRTA_6_UNITA1,ngct,PGE_valley,49.98,Henrietta Peaker Plant,55807,36.2397,-119.9044,31,Kings,1246.03,0.139,0.007,26.77845265,0.7947325,0.0933275,1.234983,5.7175,13.3325,1.234983
HENRTA_6_UNITA2,ngct,PGE_valley,49.42,Henrietta Peaker Plant,55807,36.2397,-119.9044,31,Kings,1246.03,0.139,0.007,26.77845265,0.7947325,0.0933275,1.234983,5.7175,13.3325,1.234983
HIDSRT_2_UNITS,ngcc,SCE,830,High Desert Power Project,55518,34.5953,-117.3647,71,San Bernardino,889.743,0.064,0.004,19.12148246,0.394432,0.03037,1.339397,6.163,7.5925,1.339397
HINSON_6_LBECH1,ngct,SCE,65,Long Beach Generating Station,341,33.7641,-118.2248,37,Los Angeles,2101.41,0.57,0.011,45.16143927,25.348755,0.93137,12.63779,44.4715,84.67,12.63779
HINSON_6_LBECH2,ngct,SCE,65,Long Beach Generating Station,341,33.7641,-118.2248,37,Los Angeles,2101.41,0.57,0.011,45.16143927,25.348755,0.93137,12.63779,44.4715,84.67,12.63779
HINSON_6_LBECH3,ngct,SCE,65,Long Beach Generating Station,341,33.7641,-118.2248,37,Los Angeles,2101.41,0.57,0.011,45.16143927,25.348755,0.93137,12.63779,44.4715,84.67,12.63779
HINSON_6_LBECH4,ngct,SCE,65,Long Beach Generating Station,341,33.7641,-118.2248,37,Los Angeles,2101.41,0.57,0.011,45.16143927,25.348755,0.93137,12.63779,44.4715,84.67,12.63779
HNTGBH_7_UNIT1,ngst,SCE,225.75,AES Huntington Beach,335,33.6439,-117.9792,59,Orange,1399.57,0.161,0.007,30.07818349,2.1296275,0.2331805,5.50648,13.2275,33.3115,5.50648
HNTGBH_7_UNIT2,ngst,SCE,225.8,AES Huntington Beach,335,33.6439,-117.9792,59,Orange,1399.57,0.161,0.007,30.07818349,2.1296275,0.2331805,5.50648,13.2275,33.3115,5.50648
