name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,CO2Tax,NOXTax,SO2Tax,PMTax
INLDEM_5_UNIT1,ngcc,SCE,376.2,5.62,5.88,6.14,151,377,2,2,2,172.6937269,26334,0,0,0,0
FRITO_1_LAY,ngct,PGE_valley,6,5.86,5.93,5.99,3,6,1,1,3.17,2.465753425,420,0,0,0,0
CHALK_1_UNIT,ngct,PGE_valley,47.49,7.41,7.48,7.54,17,48,1,1,3.17,20,3324.3,0,0,0,0
DEXZEL_1_UNIT,ngct,PGE_valley,36.8,8.08,8.14,8.21,13,37,1,1,3.17,15.61643836,2576,0,0,0,0
DUANE_1_PL1X3,ngcc,PGE_bay,147.8,7.86,8.12,8.38,60,148,2,2,2,67.89667897,10346,0,0,0,0
LECEF_1_UNITS,ngct,PGE_bay,294,11.9,11.96,12.03,103,294,1,1,3.17,123.9452055,20580,0,0,0,0
LMEC_1_PL1X3,ngcc,PGE_bay,561.29,8.36,8.62,8.88,225,562,4,4,2,257.896679,39290.3,0,0,0,0
INDIGO_1_UNIT1,ngct,SCE,44,11.9,11.97,12.03,16,44,1,1,3.17,18.63013699,3080,0,0,0,0
INDIGO_1_UNIT2,ngct,SCE,44.53,11.9,11.97,12.03,16,45,1,1,3.17,18.90410959,3117.1,0,0,0,0
INDIGO_1_UNIT3,ngct,SCE,43.69,11.9,11.97,12.03,16,44,1,1,3.17,18.35616438,3058.3,0,0,0,0
BASICE_2_UNITS,ngcc,PGE_valley,135,6.64,6.9,7.16,54,135,5,5,2,61.99261993,9450,0,0,0,0
LODIEC_2_PL1X2,ngcc,PGE_valley,302.58,5.6,5.87,6.13,122,303,1,1,2,139.1143911,21180.6,0,0,0,0
STIGCT_2_LODI,ngct,PGE_valley,49.9,9.47,9.53,9.6,18,50,1,1,3.17,21.09589041,3493,0,0,0,0
SMPRIP_1_SMPSON,ngct,PGE_valley,46.05,9.37,9.43,9.5,17,47,1,1,3.17,19.45205479,3223.5,0,0,0,0
BARRE_6_PEAKER,ngct,SCE,47,11.9,11.97,12.03,17,47,1,1,3.17,19.7260274,3290,0,0,0,0
RVSIDE_6_RERCU1,ngct,SCE,48.35,8.49,8.56,8.62,17,49,1,1,3.17,20.2739726,3384.5,0,0,0,0
RVSIDE_6_RERCU2,ngct,SCE,48.5,8.49,8.56,8.62,17,49,1,1,3.17,20.54794521,3395,0,0,0,0
DELTA_2_PL1X4,ngcc,PGE_bay,880,10.22,10.48,10.74,352,880,4,4,2,404.3542435,61600,0,0,0,0
KELSO_2_UNITS,ngct,PGE_bay,196,8.64,8.7,8.77,69,196,1,1,3.17,82.63013699,13720,0,0,0,0
OILDAL_1_UNIT1,ngct,PGE_valley,40,7.96,8.02,8.09,14,40,1,1,3.17,16.98630137,2800,0,0,0,0
OROVIL_6_UNIT,ngct,PGE_valley,7.5,15.36,15.42,15.49,3,8,1,1,3.17,3.287671233,525,0,0,0,0
GILROY_1_UNIT,ngcc,PGE_bay,120,6.63,6.89,7.15,48,120,6,6,2,55.12915129,8400,0,0,0,0
GILRPP_1_PL3X4,ngct,PGE_bay,46.2,11.9,11.96,12.03,17,47,1,1,3.17,19.45205479,3234,0,0,0,0
RVSIDE_2_RERCU3,ngct,SCE,49,8.49,8.56,8.62,18,49,1,1,3.17,20.54794521,3430,0,0,0,0
RVSIDE_2_RERCU4,ngct,SCE,49,8.49,8.56,8.62,18,49,1,1,3.17,20.54794521,3430,0,0,0,0
GATWAY_2_PL1X3,ngcc,PGE_bay,562.5,5.91,6.17,6.43,225,563,1,1,2,258.4870849,39375,0,0,0,0
ORMOND_7_UNIT1,ngst,SCE,741.27,11.49,12.19,12.9,297,742,6,6,2,153.8650307,51888.9,0,0,0,0
ORMOND_7_UNIT2,ngst,SCE,775,11.49,12.19,12.9,310,775,6,6,2,160.8588957,54250,0,0,0,0
SENTNL_2_CTG1,ngct,SCE,92.09,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6446.3,0,0,0,0
SENTNL_2_CTG2,ngct,SCE,92.4,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6468,0,0,0,0
SENTNL_2_CTG3,ngct,SCE,92.36,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6465.2,0,0,0,0
SENTNL_2_CTG4,ngct,SCE,91.98,7.63,7.7,7.76,33,92,1,1,3.17,38.90410959,6438.6,0,0,0,0
SENTNL_2_CTG5,ngct,SCE,91.83,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6428.1,0,0,0,0
SENTNL_2_CTG6,ngct,SCE,92.16,7.63,7.7,7.76,33,93,1,1,3.17,38.90410959,6451.2,0,0,0,0
SENTNL_2_CTG7,ngct,SCE,91.84,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6428.8,0,0,0,0
SENTNL_2_CTG8,ngct,SCE,91.56,7.63,7.7,7.76,33,92,1,1,3.17,38.63013699,6409.2,0,0,0,0
GILRPP_1_PL1X2,ngct,PGE_bay,95.4,11.9,11.96,12.03,34,96,1,1,3.17,40.21917808,6678,0,0,0,0
CHINO_6_CIMGEN,ngct,SCE,31.6,6.93,7,7.06,12,32,1,1,3.17,13.42465753,2212,0,0,0,0
PLMSSR_6_HISIER,ngct,PGE_valley,6,8.66,8.73,8.79,3,6,1,1,3.17,2.465753425,420,0,0,0,0
PIOPIC_2_CTG1,ngct,SDGE,106,7.87,7.94,8,17,106,1,1,3.17,44.65753425,7420,0,0,0,0
PIOPIC_2_CTG2,ngct,SDGE,106,7.87,7.94,8,34,106,1,1,3.17,44.65753425,7420,0,0,0,0
PIOPIC_2_CTG3,ngct,SDGE,106,7.87,7.94,8,17,106,1,1,3.17,44.65753425,7420,0,0,0,0
LARKSP_6_UNIT1,ngct,SDGE,46.1,11.9,11.97,12.03,22,47,1,1,3.17,19.45205479,3227,0,0,0,0
LARKSP_6_UNIT2,ngct,SDGE,47.98,11.9,11.97,12.03,18,48,1,1,3.17,20.2739726,3358.6,0,0,0,0
SIERRA_1_UNITS,ngct,PGE_valley,52.43,8.85,8.91,8.98,19,53,1,1,3.17,22.19178082,3670.1,0,0,0,0
ANAHM_2_CANYN1,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,0,0,0,0
ANAHM_2_CANYN2,ngct,SCE,49.4,8.35,8.41,8.48,18,50,1,1,3.17,20.82191781,3458,0,0,0,0
