,SHA_otf,ORO_otf,YRS_otf,FOL_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,ISB_otf,SUC_otf,KWH_otf,PFT_otf
25,63781.33309732718,50183.84624213488,41378.874772617484,40124.1162854183,8005.479338584888,12508.561466538888,12508.561466538888,44457.43764276046,4603.150619686311,2513.9086561773565,5503.767045277111,25052.524226281635
26,68552.69264987491,50162.62568325884,41378.874772617484,38316.01083001852,8005.479338584888,12243.09172563731,12508.561466538888,22393.147439450935,4603.150619686311,2429.1373250394945,5503.767045277111,19559.31992238119
27,69057.15144218928,47565.30987580731,41378.874772617484,35636.14759924315,8005.479338584888,11047.35909391179,12508.561466538888,20972.674206578646,4603.150619686311,2293.690225004278,5503.767045277111,16901.67203696988
28,68166.13667414988,44261.40171338036,41378.874772617484,32636.77436506049,8005.479338584888,10032.97825440594,12508.561466538888,18243.881475265443,4603.150619686311,2139.8244839574627,5232.333082460767,14879.513933033539
29,66621.87083572708,40889.48820553791,41378.874772617484,29973.270295829738,7837.589621728115,9004.288690669095,12508.561466538888,17131.111634207125,4603.150619686311,1986.0032618479572,4822.689364354509,14027.330508227531
30,64427.73295225029,28514.33395293814,31391.594737764735,15367.798381042094,7589.265108148494,10739.759110932851,12508.561466538888,56665.66489095264,714.4062989985885,1761.7149258343727,4488.852880012143,16213.188335090095
31,63528.34352676855,35590.237505842066,31391.594737764735,15641.296320555864,8005.479338584888,12508.561466538888,12508.561466538888,111379.30978606732,2328.848633001442,2037.9881064576737,5278.467656758064,49232.84287880006
32,71853.12685102329,58706.85995154429,31391.594737764735,26015.802500618513,8005.479338584888,73272.7228112382,12508.561466538888,231638.95327956608,3329.969587892204,2474.421736828753,5503.767045277111,87388.47857035989
33,72393.39670856362,60757.690446333894,31391.594737764735,27740.802078302815,8005.479338584888,61545.28961270145,12508.561466538888,160482.70446884973,4166.06876742639,2780.130314597328,5503.767045277111,49146.71958344263
34,74105.59692971216,60483.08083509991,31391.594737764735,26532.4022555632,8005.479338584888,33012.9215598512,12508.561466538888,87955.30944035837,4603.150619686311,2682.2832726160736,5503.767045277111,30645.410717148003
