,Generator,Time,Value,Zones
171,BEAVER_2,4,-0.0,PNW
172,BEAVER_2,5,-0.0,PNW
173,BEAVER_2,6,-0.0,PNW
174,BEAVER_2,7,-0.0,PNW
175,BEAVER_2,8,-0.0,PNW
176,BEAVER_2,9,-0.0,PNW
177,BEAVER_2,10,-0.0,PNW
178,BEAVER_2,11,-0.0,PNW
179,BEAVER_2,12,-0.0,PNW
180,BEAVER_2,13,-0.0,PNW
181,BEAVER_2,14,-0.0,PNW
182,BEAVER_2,15,-0.0,PNW
183,BEAVER_2,16,-0.0,PNW
184,BEAVER_2,17,-0.0,PNW
185,BEAVER_2,18,-0.0,PNW
186,BEAVER_2,19,-0.0,PNW
187,BEAVER_2,20,-0.0,PNW
188,BEAVER_2,21,-0.0,PNW
189,BEAVER_2,22,-0.0,PNW
190,BEAVER_2,23,-0.0,PNW
191,BEAVER_2,24,-0.0,PNW
192,BEAVER_3,1,-0.0,PNW
193,BEAVER_3,2,-0.0,PNW
194,BEAVER_3,3,-0.0,PNW
195,BEAVER_3,4,-0.0,PNW
196,BEAVER_3,5,-0.0,PNW
197,BEAVER_3,6,-0.0,PNW
198,BEAVER_3,7,-0.0,PNW
199,BEAVER_3,8,-0.0,PNW
200,BEAVER_3,9,-0.0,PNW
201,BEAVER_3,10,-0.0,PNW
202,BEAVER_3,11,-0.0,PNW
203,BEAVER_3,12,-0.0,PNW
204,BEAVER_3,13,-0.0,PNW
205,BEAVER_3,14,-0.0,PNW
206,BEAVER_3,15,-0.0,PNW
207,BEAVER_3,16,-0.0,PNW
208,BEAVER_3,17,-0.0,PNW
209,BEAVER_3,18,-0.0,PNW
210,BEAVER_3,19,-0.0,PNW
211,BEAVER_3,20,-0.0,PNW
212,BEAVER_3,21,-0.0,PNW
213,BEAVER_3,22,-0.0,PNW
214,BEAVER_3,23,-0.0,PNW
215,BEAVER_3,24,-0.0,PNW
216,BEAVER_4,1,-0.0,PNW
217,BEAVER_4,2,-0.0,PNW
218,BEAVER_4,3,-0.0,PNW
219,BEAVER_4,4,-0.0,PNW
220,BEAVER_4,5,-0.0,PNW
221,BEAVER_4,6,-0.0,PNW
222,BEAVER_4,7,-0.0,PNW
223,BEAVER_4,8,-0.0,PNW
224,BEAVER_4,9,-0.0,PNW
225,BEAVER_4,10,-0.0,PNW
226,BEAVER_4,11,-0.0,PNW
227,BEAVER_4,12,-0.0,PNW
228,BEAVER_4,13,-0.0,PNW
229,BEAVER_4,14,-0.0,PNW
230,BEAVER_4,15,-0.0,PNW
231,BEAVER_4,16,-0.0,PNW
232,BEAVER_4,17,-0.0,PNW
233,BEAVER_4,18,-0.0,PNW
234,BEAVER_4,19,-0.0,PNW
235,BEAVER_4,20,-0.0,PNW
236,BEAVER_4,21,-0.0,PNW
237,BEAVER_4,22,-0.0,PNW
238,BEAVER_4,23,-0.0,PNW
239,BEAVER_4,24,-0.0,PNW
240,BEAVER_5,1,-0.0,PNW
241,BEAVER_5,2,-0.0,PNW
242,BEAVER_5,3,-0.0,PNW
243,BEAVER_5,4,-0.0,PNW
244,BEAVER_5,5,-0.0,PNW
245,BEAVER_5,6,-0.0,PNW
246,BEAVER_5,7,-0.0,PNW
247,BEAVER_5,8,-0.0,PNW
248,BEAVER_5,9,-0.0,PNW
249,BEAVER_5,10,-0.0,PNW
250,BEAVER_5,11,-0.0,PNW
251,BEAVER_5,12,-0.0,PNW
252,BEAVER_5,13,-0.0,PNW
253,BEAVER_5,14,-0.0,PNW
254,BEAVER_5,15,-0.0,PNW
255,BEAVER_5,16,-0.0,PNW
256,BEAVER_5,17,-0.0,PNW
257,BEAVER_5,18,-0.0,PNW
258,BEAVER_5,19,-0.0,PNW
259,BEAVER_5,20,-0.0,PNW
260,BEAVER_5,21,-0.0,PNW
261,BEAVER_5,22,-0.0,PNW
262,BEAVER_5,23,-0.0,PNW
263,BEAVER_5,24,-0.0,PNW
264,BEAVER_6,1,-0.0,PNW
265,BEAVER_6,2,-0.0,PNW
266,BEAVER_6,3,-0.0,PNW
267,BEAVER_6,4,-0.0,PNW
268,BEAVER_6,5,-0.0,PNW
269,BEAVER_6,6,-0.0,PNW
270,BEAVER_6,7,-0.0,PNW
271,BEAVER_6,8,-0.0,PNW
272,BEAVER_6,9,-0.0,PNW
273,BEAVER_6,10,-0.0,PNW
274,BEAVER_6,11,-0.0,PNW
275,BEAVER_6,12,-0.0,PNW
276,BEAVER_6,13,-0.0,PNW
277,BEAVER_6,14,-0.0,PNW
278,BEAVER_6,15,-0.0,PNW
279,BEAVER_6,16,-0.0,PNW
280,BEAVER_6,17,-0.0,PNW
281,BEAVER_6,18,-0.0,PNW
282,BEAVER_6,19,-0.0,PNW
283,BEAVER_6,20,-0.0,PNW
284,BEAVER_6,21,-0.0,PNW
285,BEAVER_6,22,-0.0,PNW
286,BEAVER_6,23,-0.0,PNW
287,BEAVER_6,24,-0.0,PNW
288,BEAVER_7,1,-0.0,PNW
289,BEAVER_7,2,-0.0,PNW
290,BEAVER_7,3,-0.0,PNW
291,BEAVER_7,4,-0.0,PNW
292,BEAVER_7,5,-0.0,PNW
293,BEAVER_7,6,-0.0,PNW
294,BEAVER_7,7,-0.0,PNW
295,BEAVER_7,8,-0.0,PNW
296,BEAVER_7,9,-0.0,PNW
297,BEAVER_7,10,-0.0,PNW
298,BEAVER_7,11,-0.0,PNW
299,BEAVER_7,12,-0.0,PNW
300,BEAVER_7,13,-0.0,PNW
301,BEAVER_7,14,-0.0,PNW
302,BEAVER_7,15,-0.0,PNW
303,BEAVER_7,16,-0.0,PNW
304,BEAVER_7,17,-0.0,PNW
305,BEAVER_7,18,-0.0,PNW
306,BEAVER_7,19,-0.0,PNW
307,BEAVER_7,20,-0.0,PNW
308,BEAVER_7,21,-0.0,PNW
309,BEAVER_7,22,-0.0,PNW
310,BEAVER_7,23,-0.0,PNW
311,BEAVER_7,24,-0.0,PNW
312,BEAVER_8,1,0.0,PNW
313,BEAVER_8,2,-0.0,PNW
314,BEAVER_8,3,-0.0,PNW
315,BEAVER_8,4,-0.0,PNW
316,BEAVER_8,5,-0.0,PNW
317,BEAVER_8,6,-0.0,PNW
318,BEAVER_8,7,-0.0,PNW
319,BEAVER_8,8,-0.0,PNW
320,BEAVER_8,9,-0.0,PNW
321,BEAVER_8,10,-0.0,PNW
322,BEAVER_8,11,-0.0,PNW
323,BEAVER_8,12,-0.0,PNW
324,BEAVER_8,13,-0.0,PNW
325,BEAVER_8,14,-0.0,PNW
326,BEAVER_8,15,-0.0,PNW
327,BEAVER_8,16,-0.0,PNW
328,BEAVER_8,17,-0.0,PNW
329,BEAVER_8,18,-0.0,PNW
330,BEAVER_8,19,-0.0,PNW
331,BEAVER_8,20,-0.0,PNW
332,BEAVER_8,21,-0.0,PNW
333,BEAVER_8,22,-0.0,PNW
334,BEAVER_8,23,-0.0,PNW
335,BEAVER_8,24,-0.0,PNW
336,BOARDMAN_1,1,-0.0,PNW
337,BOARDMAN_1,2,-0.0,PNW
338,BOARDMAN_1,3,-0.0,PNW
339,BOARDMAN_1,4,-0.0,PNW
340,BOARDMAN_1,5,-0.0,PNW
341,BOARDMAN_1,6,-0.0,PNW
342,BOARDMAN_1,7,-0.0,PNW
343,BOARDMAN_1,8,-0.0,PNW
344,BOARDMAN_1,9,-0.0,PNW
345,BOARDMAN_1,10,-0.0,PNW
346,BOARDMAN_1,11,-0.0,PNW
347,BOARDMAN_1,12,-0.0,PNW
348,BOARDMAN_1,13,-0.0,PNW
349,BOARDMAN_1,14,-0.0,PNW
350,BOARDMAN_1,15,-0.0,PNW
351,BOARDMAN_1,16,-0.0,PNW
352,BOARDMAN_1,17,-0.0,PNW
353,BOARDMAN_1,18,-0.0,PNW
354,BOARDMAN_1,19,-0.0,PNW
355,BOARDMAN_1,20,-0.0,PNW
356,BOARDMAN_1,21,-0.0,PNW
357,BOARDMAN_1,22,-0.0,PNW
358,BOARDMAN_1,23,-0.0,PNW
359,BOARDMAN_1,24,-0.0,PNW
360,COYOTE_SPRINGS_1_GEN_1,1,-0.0,PNW
361,COYOTE_SPRINGS_1_GEN_1,2,-0.0,PNW
362,COYOTE_SPRINGS_1_GEN_1,3,-0.0,PNW
363,COYOTE_SPRINGS_1_GEN_1,4,-0.0,PNW
364,COYOTE_SPRINGS_1_GEN_1,5,-0.0,PNW
365,COYOTE_SPRINGS_1_GEN_1,6,-0.0,PNW
366,COYOTE_SPRINGS_1_GEN_1,7,-0.0,PNW
367,COYOTE_SPRINGS_1_GEN_1,8,-0.0,PNW
368,COYOTE_SPRINGS_1_GEN_1,9,-0.0,PNW
369,COYOTE_SPRINGS_1_GEN_1,10,-0.0,PNW
370,COYOTE_SPRINGS_1_GEN_1,11,-0.0,PNW
371,COYOTE_SPRINGS_1_GEN_1,12,-0.0,PNW
372,COYOTE_SPRINGS_1_GEN_1,13,-0.0,PNW
373,COYOTE_SPRINGS_1_GEN_1,14,-0.0,PNW
374,COYOTE_SPRINGS_1_GEN_1,15,-0.0,PNW
375,COYOTE_SPRINGS_1_GEN_1,16,-0.0,PNW
376,COYOTE_SPRINGS_1_GEN_1,17,-0.0,PNW
377,COYOTE_SPRINGS_1_GEN_1,18,-0.0,PNW
378,COYOTE_SPRINGS_1_GEN_1,19,-0.0,PNW
379,COYOTE_SPRINGS_1_GEN_1,20,-0.0,PNW
380,COYOTE_SPRINGS_1_GEN_1,21,-0.0,PNW
381,COYOTE_SPRINGS_1_GEN_1,22,-0.0,PNW
382,COYOTE_SPRINGS_1_GEN_1,23,-0.0,PNW
383,COYOTE_SPRINGS_1_GEN_1,24,-0.0,PNW
384,COYOTE_SPRINGS_1_GEN_2,1,-0.0,PNW
385,COYOTE_SPRINGS_1_GEN_2,2,-0.0,PNW
386,COYOTE_SPRINGS_1_GEN_2,3,-0.0,PNW
387,COYOTE_SPRINGS_1_GEN_2,4,-0.0,PNW
388,COYOTE_SPRINGS_1_GEN_2,5,-0.0,PNW
389,COYOTE_SPRINGS_1_GEN_2,6,-0.0,PNW
390,COYOTE_SPRINGS_1_GEN_2,7,-0.0,PNW
391,COYOTE_SPRINGS_1_GEN_2,8,-0.0,PNW
392,COYOTE_SPRINGS_1_GEN_2,9,-0.0,PNW
393,COYOTE_SPRINGS_1_GEN_2,10,-0.0,PNW
394,COYOTE_SPRINGS_1_GEN_2,11,-0.0,PNW
395,COYOTE_SPRINGS_1_GEN_2,12,-0.0,PNW
396,COYOTE_SPRINGS_1_GEN_2,13,-0.0,PNW
397,COYOTE_SPRINGS_1_GEN_2,14,-0.0,PNW
398,COYOTE_SPRINGS_1_GEN_2,15,-0.0,PNW
399,COYOTE_SPRINGS_1_GEN_2,16,-0.0,PNW
400,COYOTE_SPRINGS_1_GEN_2,17,-0.0,PNW
401,COYOTE_SPRINGS_1_GEN_2,18,-0.0,PNW
402,COYOTE_SPRINGS_1_GEN_2,19,-0.0,PNW
403,COYOTE_SPRINGS_1_GEN_2,20,-0.0,PNW
404,COYOTE_SPRINGS_1_GEN_2,21,-0.0,PNW
405,COYOTE_SPRINGS_1_GEN_2,22,-0.0,PNW
406,COYOTE_SPRINGS_1_GEN_2,23,-0.0,PNW
407,COYOTE_SPRINGS_1_GEN_2,24,-0.0,PNW
408,COYOTE_SPRINGS_2_GEN_1,1,0.0,PNW
409,COYOTE_SPRINGS_2_GEN_1,2,-0.0,PNW
410,COYOTE_SPRINGS_2_GEN_1,3,-0.0,PNW
411,COYOTE_SPRINGS_2_GEN_1,4,-0.0,PNW
412,COYOTE_SPRINGS_2_GEN_1,5,-0.0,PNW
413,COYOTE_SPRINGS_2_GEN_1,6,-0.0,PNW
414,COYOTE_SPRINGS_2_GEN_1,7,-0.0,PNW
415,COYOTE_SPRINGS_2_GEN_1,8,-0.0,PNW
416,COYOTE_SPRINGS_2_GEN_1,9,-0.0,PNW
417,COYOTE_SPRINGS_2_GEN_1,10,-0.0,PNW
418,COYOTE_SPRINGS_2_GEN_1,11,-0.0,PNW
419,COYOTE_SPRINGS_2_GEN_1,12,-0.0,PNW
420,COYOTE_SPRINGS_2_GEN_1,13,-0.0,PNW
421,COYOTE_SPRINGS_2_GEN_1,14,-0.0,PNW
