,Source,Sink,Time,Value
364,SDGE,SDGE,5,0.0
365,SDGE,SDGE,6,0.0
366,SDGE,SDGE,7,0.0
367,SDGE,SDGE,8,0.0
368,SDGE,SDGE,9,0.0
369,SDGE,SDGE,10,0.0
370,SDGE,SDGE,11,0.0
371,SDGE,SDGE,12,0.0
372,SDGE,SDGE,13,0.0
373,SDGE,SDGE,14,0.0
374,SDGE,SDGE,15,0.0
375,SDGE,SDGE,16,0.0
376,SDGE,SDGE,17,0.0
377,SDGE,SDGE,18,0.0
378,SDGE,SDGE,19,0.0
379,SDGE,SDGE,20,0.0
380,SDGE,SDGE,21,0.0
381,SDGE,SDGE,22,0.0
382,SDGE,SDGE,23,0.0
383,SDGE,SDGE,24,0.0
384,PGE_valley,PGE_valley,25,0.0
385,PGE_valley,PGE_valley,26,0.0
386,PGE_valley,PGE_valley,27,0.0
387,PGE_valley,PGE_valley,28,0.0
388,PGE_valley,PGE_valley,29,0.0
389,PGE_valley,PGE_valley,30,0.0
390,PGE_valley,PGE_valley,31,0.0
391,PGE_valley,PGE_valley,32,0.0
392,PGE_valley,PGE_valley,33,0.0
393,PGE_valley,PGE_valley,34,0.0
394,PGE_valley,PGE_valley,35,0.0
395,PGE_valley,PGE_valley,36,0.0
396,PGE_valley,PGE_valley,37,0.0
397,PGE_valley,PGE_valley,38,0.0
398,PGE_valley,PGE_valley,39,0.0
399,PGE_valley,PGE_valley,40,0.0
400,PGE_valley,PGE_valley,41,0.0
401,PGE_valley,PGE_valley,42,0.0
402,PGE_valley,PGE_valley,43,0.0
403,PGE_valley,PGE_valley,44,0.0
404,PGE_valley,PGE_valley,45,0.0
405,PGE_valley,PGE_valley,46,0.0
406,PGE_valley,PGE_valley,47,0.0
407,PGE_valley,PGE_valley,48,0.0
408,PGE_valley,PGE_bay,25,3034.177163403401
409,PGE_valley,PGE_bay,26,2928.325238644881
410,PGE_valley,PGE_bay,27,2808.187109706005
411,PGE_valley,PGE_bay,28,2671.9898631705937
412,PGE_valley,PGE_bay,29,2697.603550392597
413,PGE_valley,PGE_bay,30,2774.7260825171134
